2019,2016,2013,2010,2007,2004,2001,1998,1995,1992,1989
1211300,17570.2166,-3975.376125,196531.8791,3418577.016,19277135,2029290.718,24942253.56,200735.2097,124299.2577,82879.67912
1212300,17463.85935,1317.804241,179682.923,3418577.016,19287980.46,2032179.183,200014428.2,192388.6314,119651.2199,84013.38243
523500,10423.00985,-15594.01685,650687.8311,7406.464251,165556.0129,83592.16196,97198.75208,0,32102745.86,-3977.906365
454200,11486.58228,-15594.01685,650746.7435,432.043748,175560.9538,85036.39419,101288.02,0,32020153.81,-3977.906365
501700,11486.58228,-15594.01685,650628.9187,2098.498204,201928.9889,85050.83652,81628.0782,0,32091840.85,-3977.906365
692100,11486.58228,-15594.01685,649568.4949,444.387855,150277.465,83606.60428,101917.1381,0,32092555.93,-3977.906365
500100,11486.58228,-15594.01685,649450.67,1728.174992,200641.09,83606.60428,101130.7404,0,32093271.02,-3977.906365
-7010,189422.2504,577780.2875,579203.484,232398307.1,35158961.81,270173992.2,16678267.81,40647.83665,571708.6525,0
-7000,189422.2504,485501.0456,579380.2213,169891945.8,35291276.48,272057271,16678267.81,39813.17881,575105.2955,0
-7000,189422.2504,373630.4473,581017.9869,209469621.9,35463990.5,283934995.1,16678267.81,41816.35762,572066.1939,0
-7010,190592.18,632436.2184,581100.4643,233177714,35373973.14,271232610.6,16678267.81,42317.15232,571708.6525,0
-7000,189528.6076,340981.8472,580452.4276,212698840.4,35063792.87,278034861.6,16678267.81,40647.83665,571708.6525,0
303300,436.0646976,711273.8571,38581.75288,1617.078028,31451.84654,153377.4637,285462.3544,7511.92053,39510.10922,125502.9458
304300,446.7004219,711153.0584,34298.81895,1617.078028,31045.14163,153377.4637,283889.5591,7511.92053,39510.10922,125502.9458
305300,446.7004219,711065.2048,26398.66158,1617.078028,30909.57332,153377.4637,285462.3544,7528.613687,39510.10922,125502.9458
303300,446.7004219,711218.9486,33232.5039,1617.078028,32943.09789,153377.4637,285462.3544,7511.92053,39510.10922,125502.9458
302300,446.7004219,711175.0218,27594.58398,1617.078028,32807.52958,153377.4637,287035.1498,7511.92053,39510.10922,125502.9458
-13840,10635.72433,-131505.8815,-35795.19476,6474508.854,136932934.6,3099322.384,26127118.93,13621.61589,2298329.565,52866.37559
-17350,10635.72433,-131615.6985,-35795.19476,6488803.33,129515179.3,10356878.23,24973316.27,13621.61589,2298329.565,53065.27091
-16440,10635.72433,-131615.6985,-42864.68682,6475743.265,125146490.7,3274565.523,25136886.98,13621.61589,2298329.565,54656.43346
-16940,10635.72433,-131615.6985,-39318.1583,6475101.371,131673562.2,19651003.72,23293570.84,13621.61589,2298329.565,54159.19516
-17290,10635.72433,-131615.6985,-38151.69212,6466460.496,131196633,3877474.714,25184070.84,13621.61589,2298329.565,68579.10573
11742000,1735750.211,41291.19954,121713.0882,266657.4012,120316.8699,5560.294118,893269.114,807364.5254,-732.9598109,-12371.2888
11742000,1735750.211,41401.01656,40296.10471,254091.1002,120303.313,4693.754775,893269.114,807364.5254,-732.9598109,8751.394003
11743000,1736813.783,41291.19954,94613.36865,294900.7183,120303.313,7004.526356,893269.114,807364.5254,-732.9598109,-9686.201999
